# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
2e-09	0.6784272	-0.6870323	-0.019534402	1e+10	4.898587e-17
2.005018827419846e-09	0.6882762	-0.6801423	-0.011514941	1e+10	-0.0031014185
2.010009022581063e-09	0.69562113	-0.6767261	-0.0022045714	1e+10	-0.005882438
2.0150265015492422e-09	0.699558	-0.6769913	0.007566736	1e+10	-0.008099946
2.0200164916537744e-09	0.69933414	-0.68081665	0.016744066	1e+10	-0.009513762
2.0250063262620773e-09	0.69471174	-0.68780553	0.024512023	1e+10	-0.009999999
2.030023485987456e-09	0.68589365	-0.6974247	0.030165479	1e+10	-0.009505995
2.035013032133123e-09	0.6737615	-0.7088046	0.033091407	1e+10	-0.008085354
2.0400024007005206e-09	0.65947574	-0.7210933	0.032999076	1e+10	-0.005876632
2.045019399615208e-09	0.6444033	-0.73336804	0.029802056	1e+10	-0.003078575
2.0500088624132543e-09	0.6302271	-0.744467	0.023784894	1e+10	5.568418e-06
2.0550259674061338e-09	0.6181876	-0.75350726	0.015450779	1e+10	0.003105683
2.0600155063134998e-09	0.6095133	-0.75950074	0.0057243705	1e+10	0.005885732
2.065005333181739e-09	0.6048291	-0.7618412	-0.0044422452	1e+10	0.008092139
2.0700228867181453e-09	0.60441494	-0.7601887	-0.014075621	1e+10	0.009514999
2.075013016860687e-09	0.6081332	-0.7546729	-0.022141289	1e+10	0.009999997
2.0800028460834143e-09	0.6154709	-0.7458507	-0.027957916	1e+10	0.009510012
2.0850202729748766e-09	0.62571484	-0.7345971	-0.031026665	1e+10	0.008082677
2.0900100117044132e-09	0.63778675	-0.72227025	-0.031043947	1e+10	0.0058727623
2.0950273590966515e-09	0.6507498	-0.7101253	-0.027992401	1e+10	0.0030738164
2.1000172118504784e-09	0.66335964	-0.6996391	-0.022164684	1e+10	-1.0814522e-05
2.105007054064086e-09	0.6745717	-0.6918373	-0.014098355	1e+10	-0.003094385
2.110024602890341e-09	0.683318	-0.6874026	-0.0045352587	1e+10	-0.0058903517
2.1150146995961464e-09	0.6884872	-0.68664944	0.0054598222	1e+10	-0.008095595
2.120004522849385e-09	0.6893915	-0.68944705	0.014942765	1e+10	-0.009511443
2.125022087699523e-09	0.68571025	-0.6954847	0.02303258	1e+10	-0.00999999
2.130011853443359e-09	0.67775834	-0.70414543	0.028865617	1e+10	-0.009508261
2.1350014868511397e-09	0.6663386	-0.71472704	0.031921912	1e+10	-0.008089621
2.140018583499064e-09	0.6525975	-0.7264093	0.031862915	1e+10	-0.0058684023
2.1450080789178905e-09	0.6381676	-0.73806477	0.028638843	1e+10	-0.0030853418
2.150025058507417e-09	0.6244497	-0.7487754	0.022477623	1e+10	1.5744718e-05
2.155014650129909e-09	0.61302257	-0.7574085	0.014023504	1e+10	0.003098923
2.160004299941758e-09	0.604941	-0.763108	0.004092599	1e+10	0.0058800383
2.165021633179422e-09	0.600921	-0.7651504	-0.006364233	1e+10	0.008098152
2.170011555931188e-09	0.60128534	-0.76310915	-0.016191935	1e+10	0.009512806
2.17500164280806e-09	0.60585964	-0.7570344	-0.024516404	1e+10	0.01
2.180019062395497e-09	0.61420894	-0.74736327	-0.03062182	1e+10	0.009506857
2.185008915519821e-09	0.6254724	-0.73513037	-0.033918425	1e+10	0.008086876
2.1900262885928503e-09	0.63879657	-0.7214649	-0.03414121	1e+10	0.0058644814
2.195016099906751e-09	0.6529435	-0.70795065	-0.031225359	1e+10	0.0030805476
2.200005982112921e-09	0.6668421	-0.69592714	-0.025392117	1e+10	-3.7586724e-06
2.2050234279905253e-09	0.67939985	-0.6865289	-0.017107468	1e+10	-0.0031041664
2.2100135068771744e-09	0.68933535	-0.6806381	-0.007268551	1e+10	-0.0058847163
2.2150034533083235e-09	0.6956872	-0.678526	0.0031638977	1e+10	-0.008091445
2.220021048871638e-09	0.69769025	-0.68016994	0.013179545	1e+10	-0.009514644
2.2250109796014327e-09	0.6950201	-0.6852379	0.021674115	1e+10	-0.009999998
2.2300006859665457e-09	0.68796647	-0.6932069	0.027894434	1e+10	-0.009510432
2.2350178187288904e-09	0.6772605	-0.7034251	0.03127844	1e+10	-0.008083584
2.240007213960841e-09	0.6642226	-0.71488553	0.03147718	1e+10	-0.005874185
2.2450240733322048e-09	0.6501614	-0.7266769	0.028456531	1e+10	-0.003075781
2.2500135722940905e-09	0.63675416	-0.7375691	0.02250674	1e+10	8.5277225e-06
2.2550029887476784e-09	0.6253582	-0.74653697	0.014178993	1e+10	0.0030919558
2.260020288589589e-09	0.617115	-0.7526121	0.004247212	1e+10	0.005888161
2.2650101468979435e-09	0.6129019	-0.75494695	-0.0061600213	1e+10	0.008093916
2.2700000677658968e-09	0.61299	-0.7531563	-0.016035862	1e+10	0.009510579
2.27501767928613e-09	0.6173103	-0.7472241	-0.024461674	1e+10	0.009999994
2.2800075032274175e-09	0.6253485	-0.73773533	-0.030577281	1e+10	0.009509107
2.2850250418594637e-09	0.6364388	-0.72554946	-0.033913717	1e+10	0.008080912
2.2900148356210387e-09	0.64950097	-0.71208036	-0.03413683	1e+10	0.0058703087
2.295004895980877e-09	0.66350734	-0.69869435	-0.031217204	1e+10	0.0030872442
2.3000224985056768e-09	0.67738676	-0.6867149	-0.025324833	1e+10	-1.4136223e-05
2.305012576519198e-09	0.6898129	-0.67741174	-0.017028883	1e+10	-0.0030976844
2.3100026834898854e-09	0.69970304	-0.67146635	-0.0070876377	1e+10	-0.0058792164
2.3150202443450966e-09	0.70601654	-0.6692302	0.0035657566	1e+10	-0.00809764
2.320010441533507e-09	0.707885	-0.67074406	0.013734302	1e+10	-0.00951259
2.3250001621623564e-09	0.7050197	-0.6757357	0.022459477	1e+10	-0.01
2.33001720301737e-09	0.697605	-0.68378377	0.028937263	1e+10	-0.009507219
2.3350066339591448e-09	0.6865032	-0.6941161	0.032510255	1e+10	-0.008087719
2.340023638328817e-09	0.6728002	-0.7059657	0.03289555	1e+10	-0.00586583
2.345013034097137e-09	0.6581122	-0.7181731	0.030039547	1e+10	-0.0030823802
2.3500023137050446e-09	0.6439358	-0.72968316	0.02419365	1e+10	1.4537437e-06
2.3550195117366914e-09	0.63170266	-0.73941755	0.015856076	1e+10	0.003101827
2.3600091410928283e-09	0.62277424	-0.7462398	0.005962172	1e+10	0.0058824983
2.3650265789978617e-09	0.6178541	-0.7494249	-0.004550076	1e+10	0.008099975
2.3700164024778408e-09	0.6173033	-0.74850863	-0.014476904	1e+10	0.009513745
2.3750063490814864e-09	0.6209405	-0.7435488	-0.02289665	1e+10	0.009999999
2.3800238739429713e-09	0.6283174	-0.73499924	-0.0290625	1e+10	0.009505919
2.385013838701018e-09	0.63859063	-0.72389203	-0.032378543	1e+10	0.008085056
2.3900038661805844e-09	0.6508557	-0.71142894	-0.03260644	1e+10	0.005875887
2.395021237778942e-09	0.66414535	-0.69892395	-0.029684465	1e+10	0.0030774763
2.4000112561969615e-09	0.6772083	-0.68784386	-0.023865882	1e+10	-7.0724764e-06
2.4050013325979466e-09	0.68897	-0.67920536	-0.01564518	1e+10	-0.0030909663
2.4100188706062755e-09	0.6983093	-0.6737233	-0.0057436214	1e+10	-0.005887441
2.4150087487047625e-09	0.70403874	-0.67182446	0.004734447	1e+10	-0.0080934
2.4200262081458757e-09	0.70540106	-0.6735291	0.014812575	1e+10	-0.009515641
2.42501607455382e-09	0.70204115	-0.67859113	0.023358067	1e+10	-0.009999995
2.4300054574685204e-09	0.69423187	-0.686557	0.029598963	1e+10	-0.009509505
2.435022619749952e-09	0.68271846	-0.6968347	0.032971565	1e+10	-0.008081808
2.4400121479324046e-09	0.6688873	-0.7084739	0.0331349	1e+10	-0.005871676
2.4450016651707785e-09	0.65419614	-0.72054935	0.030090267	1e+10	-0.0030891749
2.4500187279912482e-09	0.64015234	-0.7320522	0.024062153	1e+10	1.1767142e-05
2.455008236284868e-09	0.6283611	-0.74176073	0.01568658	1e+10	0.0030950913
2.4600255987072508e-09	0.61982405	-0.7487533	0.005720097	1e+10	0.0058908574
2.465015380754698e-09	0.61531043	-0.7521309	-0.00470299	1e+10	0.0080958465
