# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
1e-09	0.49732018	-0.81780875	-0.045041963	1e+10	2.4492935e-17
1.010010510019381e-09	0.54705614	-0.7895577	-0.04090026	1e+10	-0.0058831936
1.0200191868244595e-09	0.59225523	-0.76550066	-0.028322438	1e+10	-0.009514283
1.0300004784157105e-09	0.6240467	-0.74892914	-0.014129327	1e+10	-0.009510472
1.0400085600344084e-09	0.63987994	-0.7407243	-0.003929315	1e+10	-0.0058735004
1.0500166452401584e-09	0.64372146	-0.7382481	-0.0015163192	1e+10	1.0458511e-05
1.0600254453409504e-09	0.64397186	-0.7350697	-0.00832961	1e+10	0.005890779
1.0700079545490493e-09	0.6493734	-0.72409964	-0.021845877	1e+10	0.009512109
1.0800174620565443e-09	0.66578746	-0.7013649	-0.035756413	1e+10	0.009507169
1.0900249823462577e-09	0.69419616	-0.66927874	-0.043318756	1e+10	0.0058651464
1.1000045783935311e-09	0.7301228	-0.63479817	-0.041289847	1e+10	-2.8766895e-06
1.1100117009426402e-09	0.76502573	-0.60387254	-0.030215163	1e+10	-0.005883799
1.12001759663214e-09	0.7892916	-0.58152044	-0.0133979805	1e+10	-0.009513976
1.1300221338142468e-09	0.7976453	-0.57182693	0.003728188	1e+10	-0.009506258
1.1400254122686153e-09	0.79071563	-0.57482886	0.015016267	1e+10	-0.0058649275
1.1500017083933468e-09	0.77421725	-0.58523846	0.016936863	1e+10	1.0734152e-06
1.1600071879163973e-09	0.7573106	-0.59556735	0.009633019	1e+10	0.0058815056
1.1700142397571698e-09	0.74983406	-0.5995712	-0.003494187	1e+10	0.009513326
1.1800230232129492e-09	0.75687766	-0.59523207	-0.015855893	1e+10	0.009506085
1.1900049386318314e-09	0.77500963	-0.5849446	-0.021156382	1e+10	0.005875342
1.2000140093772297e-09	0.795009	-0.57308555	-0.016859055	1e+10	-8.80235e-06
1.2100220003491175e-09	0.8072351	-0.5654715	-0.003938654	1e+10	-0.00588903
1.2200010681828386e-09	0.8049935	-0.5685258	0.013978306	1e+10	-0.009510772
1.2300077508444954e-09	0.7858959	-0.5855004	0.030964486	1e+10	-0.009509059
1.240015448783066e-09	0.753343	-0.61330277	0.039914697	1e+10	-0.0058699967
1.2500235672750073e-09	0.7168669	-0.6442356	0.036633488	1e+10	1.4807751e-05
1.2600038046656785e-09	0.6894746	-0.67039335	0.022809632	1e+10	0.0058797863
1.27001243887458e-09	0.6798384	-0.6867609	0.0048079826	1e+10	0.009512978
1.2800213097959396e-09	0.6863444	-0.690518	-0.010089181	1e+10	0.009506419
1.2900018889050737e-09	0.7005111	-0.6830691	-0.016595814	1e+10	0.0058768922
1.3000087323064774e-09	0.71401954	-0.6716637	-0.012127924	1e+10	-5.4866696e-06
1.3100146970121731e-09	0.71919054	-0.6659074	0.0020948064	1e+10	-0.0058853207
1.3200203694600702e-09	0.70947415	-0.67262566	0.020393064	1e+10	-0.0095145125
1.3300260031476429e-09	0.6834194	-0.6930377	0.035036184	1e+10	-0.009505504
1.3400047661423548e-09	0.64718014	-0.7224019	0.039888468	1e+10	-0.0058754296
1.3500117089186015e-09	0.6117271	-0.75285584	0.032916114	1e+10	7.35693e-06
1.3600193587780541e-09	0.5879235	-0.7763621	0.016975945	1e+10	0.0058876886
1.3700267155057e-09	0.58082855	-0.7866361	-0.0020872236	1e+10	0.009515739
1.3800059819941217e-09	0.5893112	-0.78076726	-0.018411461	1e+10	0.009509403
1.3900121501518796e-09	0.60853624	-0.7607899	-0.02723296	1e+10	0.0058716745
1.4000182466864972e-09	0.6309135	-0.7346213	-0.024702955	1e+10	-1.1464729e-05
1.4100249557863755e-09	0.64819765	-0.71486425	-0.010974459	1e+10	-0.005890531
1.4200049179558688e-09	0.6539276	-0.7118089	0.007846526	1e+10	-0.009511519
1.4300134505474339e-09	0.6450943	-0.7267493	0.023327034	1e+10	-0.00950795
1.4400216135005875e-09	0.62404096	-0.7524042	0.02916026	1e+10	-0.0058668605
1.4500013258131547e-09	0.59866554	-0.7772265	0.02348923	1e+10	8.3303297e-07
1.4600085573888315e-09	0.5794758	-0.7915993	0.008001892	1e+10	0.0058822017
1.470016236212632e-09	0.5755073	-0.7904066	-0.0124698775	1e+10	0.0095137125
1.4800241563756727e-09	0.5900106	-0.7724464	-0.030866086	1e+10	0.009505864
1.4900038639923314e-09	0.61920536	-0.7412002	-0.04001327	1e+10	0.0058758883
1.500010568797139e-09	0.65421754	-0.7061075	-0.03597296	1e+10	-6.6405705e-06
1.51001804061949e-09	0.68464404	-0.6801467	-0.020311518	1e+10	-0.005887019
1.5200263854000013e-09	0.70210266	-0.67226356	0.0007432837	1e+10	-0.009515675
1.530006137637155e-09	0.70142376	-0.6828367	0.019413516	1e+10	-0.0095093725
1.5400120358735972e-09	0.68325627	-0.70547163	0.029174156	1e+10	-0.0058717327
1.5500173098245798e-09	0.65532523	-0.72975785	0.026272304	1e+10	1.0876081e-05
1.5600234497535118e-09	0.62965107	-0.7452932	0.011606396	1e+10	0.005889766
1.570002640773144e-09	0.61818755	-0.7458921	-0.008923944	1e+10	0.009511078
1.5800096517919368e-09	0.6272933	-0.7315364	-0.027030652	1e+10	0.00950869
1.5900175337976544e-09	0.65428066	-0.70714533	-0.03571304	1e+10	0.005868936
1.6000263989884218e-09	0.6888969	-0.68034613	-0.03191799	1e+10	-1.6586966e-05
1.6100071177998266e-09	0.7184909	-0.659487	-0.01721142	1e+10	-0.00588147
1.6200144550884384e-09	0.7331478	-0.6512252	0.0033650133	1e+10	-0.009513368
1.6300206986269041e-09	0.7277164	-0.65875673	0.022500413	1e+10	-0.0095065385
