# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
1e-09	-0.34441495	0.7576424	-0.07974216	1e+09	-9.648735e-16
1.010021574880219e-09	-0.43024182	0.70968735	-0.11521756	1e+09	-0.094388716
1.0200204525943909e-09	-0.54709405	0.6060144	-0.25142238	1e+09	-0.18819109
1.0300228388218123e-09	-0.5981234	0.32286867	-0.4984357	1e+09	-0.2812834
1.0400190475018008e-09	-0.28933248	-0.046591792	-0.72330725	1e+09	-0.3732087
1.0500211991701807e-09	0.26184165	-0.07241509	-0.62771773	1e+09	-0.4637155
1.0600215947608883e-09	0.5029822	0.071576335	-0.20397088	1e+09	-0.55237603
1.0700271337080614e-09	0.33488908	-0.0037839988	0.24334052	1e+09	-0.63890034
1.0800002617313861e-09	-0.16941428	-0.10145898	0.29371586	1e+09	-0.72263265
1.0900217695096632e-09	-0.3203509	-0.110881194	-0.19336337	1e+09	-0.8039134
1.1000270010917037e-09	0.26022446	-0.091667846	-0.23102632	1e+09	-0.88188374
1.1100240331869057e-09	0.13246271	-0.20950714	0.2794156	1e+09	-0.9563105
1.1200124885658713e-09	-0.24818698	-0.18629599	0.0625186	1e+09	-1.0269065
1.130020141530299e-09	-0.020046735	-0.23524338	-0.17624158	1e+09	-1.0935829
1.1400173729698981e-09	0.1343841	-0.22879195	-0.037835456	1e+09	-1.1558743
1.15000351528108e-09	0.029411385	-0.29551315	0.20202252	1e+09	-1.213545
1.1600128445577623e-09	-0.24417546	-0.31285843	-0.1345294	1e+09	-1.2665567
1.1700262814082182e-09	0.35189623	-0.33185646	-0.05544686	1e+09	-1.3145794
1.1800238810543415e-09	-0.27399814	-0.3838336	0.2159753	1e+09	-1.3573364
1.1900257587886759e-09	0.14272706	-0.4277243	-0.3160714	1e+09	-1.394754
1.200016229938288e-09	0.00803697	-0.47336984	0.34435868	1e+09	-1.426632
1.2100182713048806e-09	-0.1160596	-0.51280713	-0.2856911	1e+09	-1.4529176
1.2200090549826985e-09	0.18892467	-0.5338582	0.1867127	1e+09	-1.4734468
1.230001013853871e-09	-0.21423922	-0.5637736	-0.09179117	1e+09	-1.4881732
1.240002189188855e-09	0.21359931	-0.5995609	0.002334809	1e+09	-1.4970413
1.2500118501387822e-09	-0.20702608	-0.63055885	0.06435054	1e+09	-1.5
1.2600010458241506e-09	0.19350773	-0.663137	-0.123992644	1e+09	-1.4970394
1.270027006151198e-09	-0.1620312	-0.6946905	0.15563309	1e+09	-1.4881401
1.2800124477399192e-09	0.118260175	-0.7289535	-0.18653373	1e+09	-1.4734089
1.2900046402530413e-09	-0.051432744	-0.75622505	0.2085905	1e+09	-1.4528638
1.3000124843176378e-09	-0.017687226	-0.782974	-0.22187176	1e+09	-1.4265484
1.3100142592690452e-09	0.11060257	-0.80108917	0.20765333	1e+09	-1.3946153
1.3200247680032351e-09	-0.20245358	-0.817471	-0.1675278	1e+09	-1.3571411
1.3300004790187165e-09	0.29175386	-0.82134485	0.080159396	1e+09	-1.3144579
1.3400009144022315e-09	-0.328561	-0.8287641	0.04120514	1e+09	-1.2664872
1.3500144506621483e-09	0.2807004	-0.8458296	-0.18420316	1e+09	-1.2134454
1.3600074027510966e-09	-0.1043941	-0.87690353	0.2880912	1e+09	-1.1557254
1.3700202785593781e-09	-0.14338772	-0.8947547	-0.27464056	1e+09	-1.0933222
1.3800105375984118e-09	0.3492946	-0.8849652	0.10128217	1e+09	-1.0267483
1.3900266566739605e-09	-0.30608818	-0.89000916	0.15203167	1e+09	-0.9559424
1.4000171661664355e-09	-0.014416433	-0.92138016	-0.26053864	1e+09	-0.881547
1.4100115342502277e-09	0.30808434	-0.907251	0.066753425	1e+09	-0.8036484
1.4200237884043667e-09	-0.1455922	-0.9258133	0.18953155	1e+09	-0.72243404
1.4300067409509116e-09	-0.21488163	-0.9176104	-0.0956467	1e+09	-0.63861144
1.4400247696754527e-09	0.09681456	-0.9417232	-0.14298952	1e+09	-0.55196977
1.4500246885185467e-09	0.18787862	-0.92568	0.01227496	1e+09	-0.4633042
1.4600245842712735e-09	0.06790986	-0.93240994	0.09410945	1e+09	-0.3728104
1.4700261054512041e-09	-0.041754793	-0.9461724	0.0749629	1e+09	-0.2808303
1.4800007297446508e-09	-0.09368755	-0.9365218	0.040047996	1e+09	-0.18799302
1.490001124927877e-09	-0.13491328	-0.916441	0.030642876	1e+09	-0.0941752
1.5000101426894515e-09	-0.18678984	-0.901931	0.04418835	1e+09	9.559259e-05
1.5100024205660504e-09	-0.26752147	-0.8872583	0.09023317	1e+09	0.094208546
1.520023121133659e-09	-0.3903067	-0.8322902	0.19489054	1e+09	0.18821605
1.530021038158439e-09	-0.53910863	-0.6499981	0.39391232	1e+09	0.28126675
1.5400079103707251e-09	-0.52086353	-0.23777041	0.6998234	1e+09	0.37310705
1.5500007927791048e-09	0.06098709	0.05532929	0.87341803	1e+09	0.4635326
1.5600094633962005e-09	0.62112945	-0.2512533	0.4895515	1e+09	0.55226976
1.5700021060324928e-09	0.58810484	-0.2575361	-0.2000569	1e+09	0.6386869
1.5800038152465816e-09	-0.0038461913	-0.069974795	-0.5050836	1e+09	0.72266203
1.5900223127603176e-09	-0.40579394	-0.15804201	-0.091452	1e+09	0.80391777
1.6000070798650262e-09	-0.08832376	-0.08456446	0.36791524	1e+09	0.88173187
1.6100084867625966e-09	0.40468794	-0.12800741	0.041276183	1e+09	0.9561976
1.6200108441554774e-09	-0.06324727	-0.026799355	-0.38039753	1e+09	1.0268952
1.630014311906877e-09	-0.29974034	-0.00582496	0.22818959	1e+09	1.0935453
1.6400121243805522e-09	0.29916954	-0.02072728	0.21672964	1e+09	1.1558427
1.6500169054062489e-09	0.13460827	0.03426782	-0.3685863	1e+09	1.2136191
1.6600171010171918e-09	-0.38030457	0.051545054	0.07027787	1e+09	1.2665782
1.6700222339811684e-09	0.31332365	0.10743283	0.2811607	1e+09	1.314561
1.6800045103890822e-09	-0.010254825	0.14125794	-0.4285087	1e+09	1.3572587
