# t (s)	mx ()	my ()	mz ()	J-freq (Hz)
1e-09	-0.047412492	0.76448596	-0.13240932	1e+09
1.01001178612803e-09	-0.10745827	0.7536949	-0.11367774	1e+09
1.020009598540477e-09	-0.13465911	0.71492916	-0.09835	1e+09
1.0300014326649112e-09	-0.1697808	0.6187253	-0.08311948	1e+09
1.0400115000844432e-09	-0.20603232	0.41736406	-0.11271198	1e+09
1.0500097509027557e-09	-0.17038532	0.16663466	-0.20022115	1e+09
1.0600113723348044e-09	-0.018300265	0.07685732	-0.26594394	1e+09
1.0700080304009336e-09	0.1724425	0.16067302	-0.22998959	1e+09
1.0800114366704205e-09	0.23129101	0.16799127	0.026848646	1e+09
1.09001091138953e-09	-0.004704492	0.13829316	0.24535578	1e+09
1.1000099134761306e-09	-0.19598906	0.035719585	0.052947477	1e+09
1.1100010962529782e-09	-0.06582291	0.027424093	-0.08988196	1e+09
1.1200042553220054e-09	0.10127579	-0.060746875	-0.10809492	1e+09
1.1300074121011706e-09	0.02382954	-0.0066032535	0.16314894	1e+09
1.1400042398511599e-09	-0.18253562	-0.12010069	-0.095910884	1e+09
1.1500097666525873e-09	0.17866361	-0.13086216	-0.028417926	1e+09
1.1600143287370078e-09	-0.1622501	-0.16788304	0.12034498	1e+09
1.1700148313866558e-09	0.038820554	-0.2307433	-0.13085522	1e+09
1.180008318309954e-09	0.0011931688	-0.2594034	0.1194183	1e+09
1.190004285552405e-09	-0.11040853	-0.30484474	-0.078715675	1e+09
1.2000128360580982e-09	0.11857396	-0.32345682	0.025482532	1e+09
1.2100052024676042e-09	-0.13642702	-0.36563268	0.024445567	1e+09
1.2200116456881793e-09	0.11663918	-0.40576747	-0.07875164	1e+09
1.2300047484659503e-09	-0.06559085	-0.46661887	0.091720976	1e+09
1.2400113662492875e-09	0.013641341	-0.46976924	-0.069064505	1e+09
1.2500068794788463e-09	0.08952856	-0.52150655	0.06389986	1e+09
1.2600106838358323e-09	-0.13928719	-0.55194944	-0.026528742	1e+09
1.270006382494845e-09	0.19718127	-0.5795573	0.013543812	1e+09
1.2800008235186045e-09	-0.24616483	-0.6070905	0.0499943	1e+09
1.2900129322961403e-09	0.20923504	-0.63893974	-0.11514112	1e+09
1.3000105157024598e-09	-0.17484233	-0.6646294	0.16630661	1e+09
1.3100054647267577e-09	0.043294527	-0.68547404	-0.1538072	1e+09
1.3200009127723052e-09	0.0009937098	-0.70320106	0.12917459	1e+09
1.330000165956867e-09	-0.110456206	-0.7063112	-0.11639263	1e+09
1.3400142850882376e-09	0.17723477	-0.7277845	0.03007586	1e+09
1.3500063655985533e-09	-0.18214111	-0.743247	0.11899285	1e+09
1.3600039884854003e-09	0.020436248	-0.7710468	-0.23161682	1e+09
1.37000976881491e-09	0.21351361	-0.79422843	0.18941833	1e+09
1.3800130010728677e-09	-0.34139532	-0.7919968	0.032947637	1e+09
1.3900129255582277e-09	0.12716891	-0.81973433	-0.27103478	1e+09
1.4000007445399373e-09	0.258151	-0.8318741	0.23589861	1e+09
1.410008974661024e-09	-0.38322008	-0.8262546	0.10464477	1e+09
1.4200127352745986e-09	-0.067699395	-0.86802167	-0.28922352	1e+09
1.430004647181736e-09	0.36679637	-0.8345775	-0.011896518	1e+09
1.4400117240140462e-09	0.031005103	-0.8965473	0.23912387	1e+09
1.4500138269973753e-09	-0.29957846	-0.8596937	0.074650235	1e+09
1.4600155362031193e-09	-0.22313473	-0.8794966	-0.11280984	1e+09
1.4700140771037162e-09	0.026624128	-0.8933214	-0.1587055	1e+09
1.480000844184985e-09	0.19582465	-0.86088645	-0.101712525	1e+09
1.4900049104631202e-09	0.24736053	-0.8405795	-0.04554557	1e+09
1.500013101230568e-09	0.2632673	-0.8282807	-0.03092485	1e+09
1.5100059067302039e-09	0.29254913	-0.8162434	-0.063690595	1e+09
1.5200066869756427e-09	0.34867275	-0.77548915	-0.14240052	1e+09
1.5300144539892125e-09	0.42584336	-0.65116525	-0.28136578	1e+09
1.540010906615394e-09	0.44226435	-0.39401472	-0.48541594	1e+09
1.5500039483553317e-09	0.17957608	-0.09801351	-0.67521685	1e+09
1.5600035446349097e-09	-0.34572223	-0.14564314	-0.60062134	1e+09
1.5700054587476646e-09	-0.6208334	-0.3857766	-0.10828187	1e+09
1.5800058146265783e-09	-0.44364786	-0.20700166	0.5115849	1e+09
1.5900000849289975e-09	0.32770643	-0.106273286	0.583557	1e+09
1.6000121479431964e-09	0.6549611	-0.25420272	-0.20974033	1e+09
1.6100101718067356e-09	-0.11980473	-0.027860347	-0.7166703	1e+09
1.6200136408066533e-09	-0.7002223	-0.19437112	0.18604687	1e+09
1.630007621090566e-09	0.30460158	-0.013462738	0.6825236	1e+09
1.64000123380509e-09	0.55196506	-0.03901496	-0.5071397	1e+09
1.6500138192118758e-09	-0.66517407	-0.06539252	-0.26391155	1e+09
1.6600075605768282e-09	0.13370614	0.08855645	0.71839434	1e+09
1.6700084896119137e-09	0.48888153	0.085633345	-0.570832	1e+09
1.680011219190487e-09	-0.7032591	0.07256121	0.1193758	1e+09
1.6900111852880241e-09	0.6131608	0.13143319	0.2960201	1e+09
